               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.023464,            0.010772,                   0,             0.93914,             0.89076,             0.95147,              0.6315,            0.026627,           0.0075341,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022546,            0.010526,                   0,             0.91522,             0.90717,             0.92774,             0.62467,            0.026396,           0.0076388,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.022581,            0.010925,                   0,             0.91698,             0.92819,             0.94311,             0.63824,            0.025969,           0.0078477,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022743,            0.010414,                   0,             0.93777,             0.91597,             0.93917,             0.64064,            0.025778,           0.0077027,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022858,            0.010543,                   0,             0.93967,             0.90336,             0.94183,             0.64187,            0.026066,           0.0078516,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022315,            0.010224,                   0,             0.92465,             0.93277,             0.94938,             0.64196,            0.025312,           0.0074372,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02213,            0.010648,                   0,             0.94892,             0.90336,             0.95038,              0.6401,            0.026084,           0.0078149,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022459,            0.010655,                   0,             0.93147,             0.91373,             0.94874,             0.63829,            0.025855,           0.0075067,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022329,            0.010084,                   0,             0.93463,             0.90111,              0.9447,             0.64476,            0.024332,           0.0074759,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021745,            0.010684,                   0,             0.94078,             0.92017,             0.95753,             0.64443,             0.02533,           0.0076148,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02197,            0.010254,                   0,             0.94614,             0.91176,             0.95512,             0.65576,             0.02503,           0.0076002,                   0,            0.003664,            0.003664,            0.003664
